pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e,ppg_f,ppg_g,ppg_h,ppg_i,ppg_j
2026-05-06 15:54:17.408605,456184,1609505120784915,2720697016,-1.046272,0.226432,0.085888,-12.95,4.4275,-8.1725,17.176,-54.168003,-65.888,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.411223,456185,1609505120799502,2720712083,-1.075552,0.251808,0.064416,-10.29,4.97875,-9.75625,17.936,-57.320004,-63.032,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.413789,456186,1609505120808469,2720720870,-1.075552,0.251808,0.064416,-6.475,4.99625,-11.917501,17.936,-57.320004,-63.032,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.416463,456187,1609505120822989,2720733763,-1.095072,0.240096,0.003904,-7.3675,4.6025,-13.81625,18.288,-54.272003,-65.48801,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.418932,456188,1609505120832345,2720744528,-1.095072,0.240096,0.003904,-10.43,5.43375,-14.62125,18.288,-54.272003,-65.48801,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.421474,456189,1609505120841449,2720753314,-1.095072,0.20496,0.046848,-14.175,4.97875,-15.61875,18.328001,-54.088,-65.560005,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.423911,456190,1609505120855947,2720768312,-1.095072,0.20496,0.060512,-14.096251,5.0225,-16.6075,18.328001,-54.088,-65.560005,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.426232,456191,1609505120864875,2720777021,-1.1224,0.203008,0.060512,-8.82875,5.27625,-15.61875,18.856,-53.872,-65.192,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.429007,456192,1609505120879351,2720791951,-1.097024,0.261568,0.089792,-3.4825,4.26125,-14.44625,19.432001,-54.160004,-65.54401,concentric,3,5.0,23175.0,29337.0,57995.0,79556.0,22390.0,38741.0,23472.0,45474.0,15518.0,12437.0
2026-05-06 15:54:17.458521,456203,1609505120888394,2720800659,-1.097024,0.261568,0.089792,-3.01,4.69875,-13.86,19.432001,-54.160004,-65.54401,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.461192,456204,1609505120903102,2720815575,-1.056032,0.337696,0.052704,-4.75125,5.11,-13.886251,19.528002,-53.936,-65.368004,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.463850,456205,1609505120912411,2720824416,-1.056032,0.337696,0.052704,-8.505,5.8625,-15.51375,19.528002,-53.936,-65.368004,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.466358,456206,1609505120921645,2720833185,-1.11264,0.27328,-0.023424,-12.635,5.6175,-21.25375,20.008001,-55.512,-64.22401,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.468865,456207,1609505120936223,2720848202,-1.11264,0.27328,-0.023424,-16.91375,3.6925,-28.06125,20.008001,-55.512,-64.22401,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.473856,456208,1609505120945219,2720856966,-1.124352,0.18544,-0.00976,-15.015,1.3475,-30.49375,20.408,-55.264004,-63.312004,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.476292,456209,1609505120959710,2720871894,-1.089216,0.197152,0.062464,-9.28375,0.245,-29.303751,20.824001,-56.08,-63.120003,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.478911,456210,1609505120968676,2720880677,-1.089216,0.197152,0.062464,-1.8725,-0.6475,-27.83375,20.824001,-56.08,-63.120003,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.485147,456211,1609505120977718,2720889456,-1.089216,0.296704,0.10736,1.155,1.18125,-27.60625,21.464,-56.04,-64.688,concentric,3,5.0,23126.0,29245.0,57754.0,79862.0,22365.0,38647.0,23345.0,45622.0,15476.0,12369.0
2026-05-06 15:54:17.516374,456222,1609505120992406,2720904540,-1.089216,0.296704,0.10736,2.21375,3.43875,-27.1775,21.464,-56.04,-64.688,concentric,3,5.0,23195.0,29130.0,57365.0,80199.0,22423.0,38519.0,23170.0,45803.0,15497.0,12325.0
2026-05-06 15:54:17.518835,456223,1609505121001407,2720913323,-1.116544,0.308416,0.056608,-0.2625,4.66375,-28.76125,21.664001,-55.944004,-63.712,concentric,3,5.0,23195.0,29130.0,57365.0,80199.0,22423.0,38519.0,23170.0,45803.0,15497.0,12325.0
2026-05-06 15:54:17.525168,456224,1609505121016042,2720928224,-1.116544,0.308416,0.056608,-9.3625,5.845,-31.35125,21.664001,-55.944004,-63.712,concentric,3,5.0,23195.0,29130.0,57365.0,80199.0,22423.0,38519.0,23170.0,45803.0,15497.0,12325.0
2026-05-06 15:54:17.531428,456225,1609505121024997,2720936983,-1.145824,0.212768,-0.074176,-15.89875,6.1775,-32.55,22.728,-54.328003,-65.144005,concentric,3,5.0,23195.0,29130.0,57365.0,80199.0,22423.0,38519.0,23170.0,45803.0,15497.0,12325.0
